id,first_name,second_name,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
80,Andrew,Surman,3,100.0,100.0,15237,0,0,-3,3,0,3,0.5,0.0,0,0.0,False,,2019-12-20T11:00:16.393267Z,47,15237.jpg,1.0,0.0,False,,a,3,91,1186,28,3993,30,0.0,0.6,Surman,57,0,0,0,1,0,0,0,0,0,0,0,9,6.4,2.2,0.0,0.9
81,Dan,Gosling,25,100.0,100.0,40387,0,0,-1,1,0,3,4.2,3.7,1,3.7,False,,2019-07-30T10:30:13.907385Z,49,40387.jpg,2.8,0.1,False,,a,3,91,11786,450,5088,605,0.8,5.1,Gosling,520,2,0,1,9,0,0,0,1,0,0,1,88,157.6,53.0,124.0,33.4
82,Jefferson,Lerma,35,100.0,100.0,152551,0,0,-2,2,0,3,2.8,2.3,1,2.3,False,,2019-12-28T15:30:23.983203Z,48,152551.jpg,1.8,0.1,False,,a,3,91,10794,152,18722,158,0.5,7.3,Lerma,1556,0,1,3,26,0,0,0,8,0,0,2,227,247.4,123.1,52.0,42.3
446,Jack,Stacey,23,0.0,0.0,154131,0,0,-2,2,0,2,0.0,0.0,0,2.8,False,Hamstring injury - Expected back 09 Feb,2019-12-28T15:00:27.078393Z,43,154131.jpg,2.6,0.1,False,,i,3,91,7137,8,11492,358,0.7,5.3,Stacey,796,0,1,1,12,0,0,0,2,0,0,3,129,164.4,43.9,45.0,25.4
476,Philip,Billing,38,100.0,100.0,168991,0,0,0,0,0,3,2.3,1.8,1,1.8,False,,2019-11-23T20:00:18.721417Z,50,168991.jpg,1.9,0.1,False,,a,3,91,16209,187,19534,207,0.4,7.6,Billing,1532,0,1,5,24,0,0,0,7,0,0,2,220,347.8,112.7,174.0,63.6
492,Arnaut,Danjuma Groeneveld,18,0.0,0.0,220307,0,0,-2,2,0,3,0.0,0.0,0,0.0,False,Foot injury - Unknown return date,2019-12-15T13:00:23.507388Z,58,220307.jpg,2.0,0.0,False,,i,3,91,1016,4,4736,24,0.0,3.1,Danjuma,405,0,1,2,6,0,0,0,0,0,0,0,55,45.4,39.8,120.0,20.5
494,Aaron,Ramsdale,77,75.0,,225321,0,0,2,-2,3,1,2.5,2.8,0,2.8,False,Hamstring injury - 75% chance of playing,2020-01-12T14:00:23.328650Z,47,225321.jpg,3.7,5.6,False,,d,3,91,628216,3071,264319,40619,0.6,16.4,Ramsdale,1890,0,1,4,32,0,0,0,0,0,69,10,391,526.8,10.0,0.0,53.8
505,Harry,Wilson,65,100.0,100.0,153682,0,0,-1,1,2,3,1.5,1.0,2,1.0,False,,2019-12-15T13:00:23.553245Z,59,153682.jpg,3.6,2.1,False,,a,3,91,565886,2449,521323,6876,0.2,11.0,Harry Wilson,1077,6,0,2,22,0,0,0,1,0,0,5,205,289.6,152.6,401.0,84.3
564,Christian,Saydee,0,,,461017,0,0,0,0,0,3,0.5,0.0,0,0.0,False,,,45,461017.jpg,0.0,0.0,False,,a,3,91,407,32,268,28,0.0,0.0,Saydee,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
565,Gavin,Kilkenny,0,,,444183,0,0,0,0,0,3,0.5,0.0,0,0.0,False,,,45,444183.jpg,0.0,0.0,False,,a,3,91,284,22,200,15,0.0,0.0,Kilkenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
574,Mihai-Alexandru,Dobre,0,,,207300,0,0,0,0,0,3,0.5,0.0,0,0.0,False,,,45,207300.jpg,0.0,0.0,False,,a,3,91,232,39,121,17,0.0,0.0,Dobre,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
