id,first_name,second_name,team,team_code,total_points,minutes,now_cost,selected_by_percent,points_list,minutes_list
196,Naby,Keita,10,14,20,196,58,0.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 69.0, 23.0, 0.0, 0.0]"
197,Fabio Henrique,Tavares,10,14,32,1006,54,1.0,"[2.0, 1.0, 6.0, 3.0, 2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 0.0, 9.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[90.0, 16.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
198,Jordan,Henderson,10,14,60,1436,54,1.1,"[2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 1.0, 2.0, 9.0, 2.0, 6.0, 3.0, 2.0, 1.0, 7.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0]","[90.0, 1.0, 90.0, 70.0, 0.0, 83.0, 63.0, 12.0, 70.0, 90.0, 90.0, 60.0, 78.0, 90.0, 18.0, 90.0, 90.0, 0.0, 81.0, 90.0, 90.0, 90.0]"
199,Georginio,Wijnaldum,10,14,60,1672,54,2.2,"[2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 10.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 0.0, 1.0, 0.0, 3.0, 3.0, 3.0, 3.0]","[90.0, 90.0, 68.0, 90.0, 83.0, 90.0, 90.0, 77.0, 81.0, 76.0, 64.0, 90.0, 90.0, 90.0, 90.0, 0.0, 58.0, 0.0, 90.0, 85.0, 90.0, 90.0]"
200,James,Milner,10,14,42,662,53,0.5,"[1.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 13.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 3.0, 2.0, 0.0, 6.0, 1.0, 3.0, 0.0]","[4.0, 73.0, 21.0, 0.0, 15.0, 19.0, 3.0, 90.0, 0.0, 13.0, 0.0, 29.0, 11.0, 0.0, 90.0, 90.0, 90.0, 0.0, 20.0, 4.0, 90.0, 0.0]"
201,Rafael,Camacho,10,14,0,0,45,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
464,Rhian,Brewster,10,14,0,0,42,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
526,Adrián,San Miguel del Castillo,10,14,25,783,41,2.2,"[1.0, 3.0, 2.0, 6.0, 2.0, 2.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[51.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
530,Andy,Lonergan,10,14,0,0,43,0.0,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
531,Caoimhin,Kelleher,10,14,0,0,44,0.0,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
550,Harvey,Elliott,10,14,1,1,45,0.0,"[0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
569,Curtis,Jones,10,14,1,14,45,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
575,Neco,Williams,10,14,0,0,40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
589,Nathaniel,Phillips,10,14,0,0,40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0]"
590,Takumi,Minamino,10,14,0,0,65,0.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]"
